City,Country,lat(deg),lon(deg),Date,temp(f),humidity(%),cloudcover(%),wind(mph)
Qingdao,CN,36.1,120.37,1579627910,45.0,75,100,4.47
Narsaq,GL,60.92,-46.05,1579627939,30.2,86,75,6.93
Bredasdorp,ZA,-34.53,20.04,1579627939,68.0,88,97,13.87
Buraidah,SA,26.33,43.98,1579627868,60.8,38,0,4.7
Rikitea,PF,-23.12,-134.97,1579627940,77.59,78,26,10.87
Chokurdakh,RU,70.63,147.92,1579627941,-33.07,97,82,8.1
La Ronge,CA,55.1,-105.28,1579627941,17.6,85,75,5.82
Sabzevar,IR,36.21,57.68,1579627941,32.0,63,20,6.93
Punta Arenas,CL,-53.15,-70.92,1579627786,60.8,48,40,24.16
Lloydminster,CA,53.28,-110.0,1579627747,23.0,79,40,14.99
Morondava,MG,-20.28,44.28,1579627942,75.88,96,100,6.76
Kapaa,US,22.08,-159.32,1579627943,68.0,88,40,4.7
Cayenne,GF,4.93,-52.33,1579627943,84.2,66,75,13.87
Iskateley,RU,67.68,53.15,1579627943,18.3,94,100,13.4
Saskylakh,RU,71.92,114.08,1579627943,-26.3,96,95,6.29
Ushuaia,AR,-54.8,-68.3,1579627944,59.0,50,20,27.51
San Quintin,MX,30.48,-115.95,1579627944,57.47,80,98,2.75
Yellowknife,CA,62.46,-114.35,1579627944,-5.01,76,75,5.82
Uusikaupunki,FI,60.8,21.41,1579627944,39.2,55,67,18.34
Tura,IN,25.52,90.22,1579627945,55.56,56,19,1.97
Hambantota,LK,6.12,81.12,1579627945,81.19,76,58,22.84
Biloela,AU,-24.42,150.5,1579627945,74.43,85,98,5.14
Energetik,RU,51.74,58.79,1579627945,12.63,95,88,8.3
Avanuorri,NO,71.0,24.66,1579627946,33.8,78,90,23.04
Mataura,NZ,-46.19,168.86,1579627946,57.99,95,100,3.0
Hobart,AU,-42.88,147.33,1579627803,57.99,82,40,6.93
Vaini,TO,-21.2,-175.2,1579627947,73.4,94,40,9.78
Severo-Kuril'sk,RU,50.68,156.12,1579627687,12.49,89,93,8.84
Seoul,KR,37.57,126.98,1579627695,32.0,29,90,1.43
Saint-Philippe,RE,-21.36,55.77,1579627948,80.6,88,90,5.82
Dunedin,NZ,-45.87,170.5,1579627866,59.0,97,100,11.34
Khatanga,RU,71.97,102.5,1579627948,-23.39,98,100,3.62
Kavaratti,IN,10.57,72.64,1579627695,82.2,77,30,9.44
Ribeira Grande,PT,38.52,-28.7,1579627949,60.8,67,75,19.46
Klaksvik,FO,62.23,-6.59,1579627949,42.8,87,91,17.22
Grindavik,IS,63.84,-22.43,1579627949,37.4,100,75,13.87
Bluff,NZ,-46.6,168.33,1579627950,57.99,95,100,3.0
Chara,RU,56.91,118.26,1579627950,-20.31,94,71,1.61
Castro,BR,-24.79,-50.01,1579627951,81.84,42,35,5.68
Elizabeth City,US,36.29,-76.25,1579627951,37.4,47,1,12.75
Kenora,CA,49.82,-94.43,1579627756,14.0,72,75,16.11
Turukhansk,RU,65.82,87.98,1579627951,-39.35,96,96,7.43
Hermanus,ZA,-34.42,19.23,1579627723,75.99,84,67,15.99
Cherskiy,RU,68.75,161.3,1579627663,-21.19,98,100,6.93
Yulara,AU,-25.24,130.99,1579627952,84.2,48,90,5.82
Kharp,RU,66.8,65.81,1579627953,-10.19,99,100,7.07
Senekal,ZA,-28.32,27.62,1579627953,67.14,59,65,7.02
Qaanaaq,GL,77.48,-69.36,1579627953,-15.92,55,0,8.08
Thompson,CA,55.74,-97.86,1579627954,8.6,84,75,4.7
Kaitangata,NZ,-46.28,169.85,1579627954,56.32,94,100,9.19
Talcahuano,CL,-36.72,-73.12,1579627955,77.0,47,0,6.93
Bom Jesus da Lapa,BR,-13.26,-43.42,1579627955,82.8,74,96,1.81
Butaritari,KI,3.07,172.79,1579627955,84.15,67,38,6.2
Aban,RU,56.67,96.06,1579627955,-6.41,89,100,9.98
Tasiilaq,GL,65.61,-37.64,1579627956,23.0,85,100,41.38
Hong Kong,HK,22.29,114.16,1579627709,69.01,72,40,11.41
Longyearbyen,SJ,78.22,15.64,1579627820,8.6,60,20,6.93
Atuona,PF,-9.8,-139.03,1579627956,80.8,72,31,13.91
